,Company,Location,Date,Time,Rocket,Mission,RocketStatus,Price,MissionStatus
4278,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2020,04:50:00,Falcon 9 Block 5,CRS-20,Active,67,Success
4282,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2020,12:16:00,Falcon 9 Block 5,Starlink V1 L5,Active,67,Success
4289,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2020,19:30:00,Falcon 9 Block 5,Starlink V1 L6,Active,67,Success
4298,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2020,19:22:00,Falcon 9 Block 5,SpaceX Demo-2,Active,67,Success
4300,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2020,01:25:00,Falcon 9 Block 5,Starlink V1 L7,Active,67,Success
4303,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2020,09:21:00,Falcon 9 Block 5,Starlink V1 L8 & SkySat 16 to 18,Active,67,Success
4306,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2020,20:10:00,Falcon 9 Block 5,GPS III SV03,Active,67,Success
4315,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2020,21:30:00,Falcon 9 Block 5,ANASIS-II,Active,67,Success
4321,SpaceX,"Pad A, Boca Chica, Texas, USA",2020,23:57:00,Starship Prototype,150 Meter Hop,Active,,Success
4323,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2020,05:12:00,Falcon 9 Block 5,Starlink V1 L9 & BlackSky,Active,67,Success
4325,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2020,14:31:00,Falcon 9 Block 5,Starlink V1 L10 & SkySat 19 to 21,Active,67,Success
4327,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2020,23:18:00,Falcon 9 Block 5,SAOCOM 1B & Rideshares,Active,67,Success
4330,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2020,12:46:00,Falcon 9 Block 5,Starlink V1 L11,Active,67,Success
4340,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2020,11:29:00,Falcon 9 Block 5,Starlink V1 L12,Active,67,Success
4344,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2020,12:25:00,Falcon 9 Block 5,Starlink V1 L13,Active,67,Success
4345,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2020,15:31:00,Falcon 9 Block 5,Starlink V1 L14,Active,67,Success
4349,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2020,23:24:00,Falcon 9 Block 5,GPS III-4,Active,67,Success
4355,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2020,00:27:00,Falcon 9 Block 5,SpaceX Crew-1,Active,67,Success
4358,SpaceX,"SLC-4E, Vandenberg SFB, California, USA",2020,17:17:00,Falcon 9 Block 5,Sentinel-6A Michael Freilich,Active,67,Success
4360,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2020,02:13:00,Falcon 9 Block 5,Starlink V1 L15,Active,67,Success
4365,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2020,16:17:00,Falcon 9 Block 5,CRS SpX-21,Active,67,Success
4367,SpaceX,"Suborbital Pad A, Starbase, Texas, USA",2020,22:45:00,Starship Prototype,12.5-Kilometer Test Flight,Active,,Partial Failure
4370,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2020,17:30:00,Falcon 9 Block 5,SXM-7,Active,67,Success
4376,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2020,14:00:00,Falcon 9 Block 5,NROL-108,Active,67,Success
4380,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021,02:15:00,Falcon 9 Block 5,TÃ¼rksat 5A,Active,67,Success
4385,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2021,13:02:00,Falcon 9 Block 5,Starlink V1 L16,Active,67,Success
4386,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021,15:00:00,Falcon 9 Block 5,Transporter 1,Active,67,Success
4390,SpaceX,"Suborbital Pad B, Starbase, Texas, USA",2021,20:25:00,Starship Prototype,10-Kilometer Test Flight,Active,,Partial Failure
4392,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021,06:19:00,Falcon 9 Block 5,Starlink V1 L18,Active,67,Success
4395,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021,03:59:00,Falcon 9 Block 5,Starlink V1 L19,Active,67,Success
4400,SpaceX,"Suborbital Pad A, Starbase, Texas, USA",2021,23:14:00,Starship Prototype,10-Kilometer Test Flight,Active,,Partial Failure
4401,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2021,08:24:00,Falcon 9 Block 5,Starlink V1 L17,Active,67,Success
4402,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021,08:13:00,Falcon 9 Block 5,Starlink V1 L20,Active,67,Success
4405,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2021,10:01:00,Falcon 9 Block 5,Starlink V1 L21,Active,67,Success
4408,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021,08:28:00,Falcon 9 Block 5,Starlink V1 L22,Active,67,Success
4410,SpaceX,"Suborbital Pad B, Starbase, Texas, USA",2021,13:00:00,Starship Prototype,10-Kilometer Test Flight,Active,,Failure
4412,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021,16:34:00,Falcon 9 Block 5,Starlink V1 L23,Active,67,Success
4416,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2021,09:49:00,Falcon 9 Block 5,SpaceX Crew-2,Active,67,Success
4422,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021,03:44:00,Falcon 9 Block 5,Starlink V1 L24,Active,67,Success
4424,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2021,19:01:00,Falcon 9 Block 5,Starlink V1 L25,Active,67,Success
4425,SpaceX,"Suborbital Pad A, Starbase, Texas, USA",2021,22:25:00,Starship Prototype,10-Kilometer Test Flight,Active,,Success
4427,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021,06:42:00,Falcon 9 Block 5,Starlink V1 L27,Active,67,Success
4429,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2021,22:56:00,Falcon 9 Block 5,Starlink V1 L26 & Rideshares,Active,67,Success
4433,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021,18:59:00,Falcon 9 Block 5,Starlink V1 L28,Active,67,Success
4437,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2021,17:29:00,Falcon 9 Block 5,CRS SpX-22,Active,67,Success
4438,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021,04:26:00,Falcon 9 Block 5,SXM-8,Active,67,Success
4443,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021,16:09:00,Falcon 9 Block 5,GPS III-5,Active,67,Success
4448,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021,19:31:00,Falcon 9 Block 5,Transporter 2,Active,67,Success
4473,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2021,07:14:00,Falcon 9 Block 5,CRS SpX-23,Active,67,Success
4478,SpaceX,"SLC-4E, Vandenberg SFB, California, USA",2021,03:55:00,Falcon 9 Block 5,Starlink Group 2-1,Active,67,Success
4480,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2021,00:02:00,Falcon 9 Block 5,Inspiration4,Active,67,Success
4501,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2021,02:03:00,Falcon 9 Block 5,SpaceX Crew-3,Active,67,Success
4502,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021,12:19:00,Falcon 9 Block 5,Starlink Group 4-1,Active,67,Success
4508,SpaceX,"SLC-4E, Vandenberg SFB, California, USA",2021,06:21:00,Falcon 9 Block 5,DART,Active,67,Success
4513,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021,23:12:00,Falcon 9 Block 5,Starlink Group 4-3 & BlackSky,Active,67,Success
4519,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2021,06:00:00,Falcon 9 Block 5,IXPE,Active,67,Success
4525,SpaceX,"SLC-4E, Vandenberg SFB, California, USA",2021,12:41:00,Falcon 9 Block 5,Starlink Group 4-4,Active,67,Success
4526,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021,03:58:00,Falcon 9 Block 5,TÃ¼rksat 5B,Active,67,Success
4527,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2021,10:07:00,Falcon 9 Block 5,CRS SpX-24,Active,67,Success
4537,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2022,21:49:00,Falcon 9 Block 5,Starlink Group 4-5,Active,67,Success
4538,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2022,15:25:00,Falcon 9 Block 5,Transporter 3,Active,67,Success
